NO.,Season,Style #,Article #,Color ,Report #,Report Date,Failure,Applicant,Review Conclusion,Remarks,C.A Report#
39,F26,V8214,V8214,Black,JAKCP250019575 (Washed),9/3/2025,"Chlorobenzenes & Chlorotoluenes (CBs & CTs): CAS No. 106-46-7  Detected 1,4-Dichlorobenzene at 1.50 mg/kg (ppm).
Limit: <1 mg/kg (ppm)",MADISON 88,Marginally Accepted,Label Beanie 2.0 Finished Product,JAKCP250019575 was conducted after hand washing at 30C and line drying
40,F25 Olympic,V4123/V5097,IGMP B107 C0 B20T,(A) Chilli pepper  (B) Black,SL12500345796101TX,9/10/2025,CAS No. 647-42-7 – Total PFHxA-related Substances on both 1. Chilli pepper (Red) color: 1.40ppm and 2. Black color: 1.76ppm,TOYOTA TSUSHO,Marginally Accepted,SL12500303479001TX-1 had PFAS Pass in June,Another Bulk Tested at SGS TPE Lab.: TX91931/2025/JU had PFAS Pass!
41,SP26,N/A,ASI Leather,Brown,TX91718_2025_AC,9/18/2025,ASI Leather in Brown color – BPS detected at 988ppm ,VUORI,Rejected - Reference Only!,Already reported to John,Only at Development stage
42,FA26,V176/V1049,DWF-5666-R-LZSD, Bourbon, TX10872 _2026 _CI,1/16/2026,pH Failure by 8.3 -> Reworked: 6.7,ADVANCE UNIFIELD,CA Completed,pH requirement: 4.0~7.5  ,TX10872A_2026_CI 
43,FA26,V2123,ZJ31YCSB482,Hunter Green,SL52605272595201TX,2/6/2026,pH Failure by 8.9 -> Reworked: 6.0,SHANGTEX,CA Completed,pH requirement: 4.0~7.5  ,SL52605283890401TX
44,FA26,VW597 & V5004,575FWR2L,Black,SL52605309313101TX,4/27/2026,CAS No. 647-42-7 6:2 FTOH (PFHxA related substance): 4.88ppm,TORAY,Rejected – CAP & Retest Required,Rejected!  55Yds - CAS No. 647-42-7 6:2 FTOH (PFHxA related substance): 4.88ppm,Totally 9Lots for Re-testing.  8Lots PASSED-> Let Go!
45,SP27,VW5185,SW-N595,INK,F690101/LF-CTSAYSA26-11197,7/30/2026,"CAS# 678-39-7, 8:2 FTOH = 2.01 mg/kg; Total PFOA-related = 2.01 mg/kg vs limit 1 mg/kg; Total C9-C14 PFCA-related = 2.63 mg/kg vs limit 0.26 mg/kg",YOUNGTEX,Rejected – CAP & Retest Required,,
46,SP27,VW5112,YBS-MFN216W,SANTORINI,F690101/LF-CTSAYSA26-11198,7/30/2026,"CAS# 647-42-7, 6:2 FTOH = 6.26 mg/kg; Total PFHxA-related Substances = 6.26 mg/kg vs limit 1 mg/kg",YOUNGTEX,Rejected – CAP & Retest Required,,
47,FA24,"VW1098 VW1099 VW1161 VW1248
VW1249 VW3052 VW3053 VW3109
VW4018 VW4018-L VW4018-S VW4039
VW4039-L VW4039-S VW4081",KP0212RJA3,Black,TX30719/2024/CT,3/19/2024,BPS 227ppm,YU YUANG,M.A – Continuous Improvement Required,Template: Internal Softlines - To be corrected to Physical Test Report,Do not want to comprise CF
48,FA24,VW585,DUCKY,Bone,TX80871_2024_ER ,8/14/2024,BPS 158ppm,FORMOSA TAFFETA,Marginally Accepted,From Physical Test Report,TXA3603/2024/CR - BPF 22.8ppm
49,SP25,VW828,DUCKY,Rose Clay,TXB1441/2024/AC,11/19/2024,BPF 626ppm,FORMOSA TAFFETA,Rejected – CAP & Retest Required,From Physical Test Report,TXA3603/2024/CR - BPF 22.8ppm
50,SP25,VW828,DUCKY,Laurel,TXB1439/2024/AC,11/20/2024,BPF 255ppm,FORMOSA TAFFETA,Rejected – CAP & Retest Required,From Physical Test Report,TXA3603/2024/CR - BPF 22.8ppm
51,SP25,VW837,DUCKY,Java,TXB1440/2024/AC,11/20/2024,BPF 361ppm,FORMOSA TAFFETA,Rejected – CAP & Retest Required,From Physical Test Report,TXA3603/2024/CR - BPF 22.8ppm
